berufsfeld,keyword,tfidf_score,anzahl_jobs,anteil_jobs_pct
Digital Channel & Relationship Manager,health,0.011326774467267632,14,16.9
Digital Channel & Relationship Manager,field,0.011230923913277392,16,19.3
Digital Channel & Relationship Manager,abb,0.011205811560880342,2,2.4
IT Manager,kunden,0.027752956331434646,121,31.9
IT Manager,management,0.02017909832740771,112,29.6
IT Manager,deutsch,0.017056899879865202,141,37.2
IT Manager,abgeschlossene,0.01677387852138575,85,22.4
IT Manager,service,0.015928668684228153,57,15.0
IT Manager,informatik,0.01558419951524499,93,24.5
IT Manager,business,0.014993654571238817,97,25.6
IT Manager,microsoft,0.014986896260753139,50,13.2
IT Manager,mitarbeitenden,0.013621994802168944,74,19.5
IT Manager,weiterentwicklung,0.013606418070755855,98,25.9
IT Manager,freude,0.013579841195829457,65,17.2
IT Manager,sap,0.01355902236864507,32,8.4
IT Manager,englischkenntnisse,0.013189318322677744,85,22.4
IT Manager,aktiv,0.013052239502391344,87,23.0
IT Manager,marketing,0.012804530726378818,28,7.4
IT Manager,lösungen,0.012786047407949449,88,23.2
IT Manager,umgang,0.012687140721502791,66,17.4
IT Manager,verständnis,0.012530730351863053,84,22.2
IT Manager,unterstützung,0.012467432037721582,92,24.3
IT Manager,manager,0.012298070276169446,89,23.5
IT Manager,wochen,0.012168289702264657,50,13.2
IT Manager,de,0.011832992814831876,14,3.7
IT Manager,umsetzung,0.01172504143394628,69,18.2
IT Manager,technische,0.011717014571977446,70,18.5
IT Manager,deutschkenntnisse,0.011501561152976982,49,12.9
IT Manager,gemeinsam,0.01149615427762204,76,20.1
IT Manager,ag,0.01143138716794243,70,18.5
IT Manager,projekten,0.011421797629113863,68,17.9
IT Manager,kannst,0.011416459832133252,75,19.8
IT Manager,services,0.011344073551160381,67,17.7
IT Manager,englisch,0.011300139577505773,68,17.9
IT Manager,innen,0.011271178830060924,47,12.4
IT Manager,wort,0.011188382044214138,75,19.8
IT Manager,projekte,0.011176668560945107,68,17.9
IT Manager,wort schrift,0.010950690716642232,65,17.2
IT Manager,schrift,0.010950690716642232,65,17.2
IT Manager,office,0.010869205716858777,60,15.8
IT Manager,weitere,0.010866376492855786,66,17.4
IT Manager,per,0.01054596987506919,64,16.9
IT Manager,hr,0.010525459497385373,44,11.6
IT Manager,zwingend,0.010395088984567674,21,5.5
IT Manager,sicher,0.010329135157504598,63,16.6
IT Manager,interesse,0.010163942162840351,39,10.3
IT Manager,internen,0.010060772630816523,51,13.5
IT Manager,entwicklung,0.010052159542280883,72,19.0
IT Manager,deiner,0.00984111910944358,65,17.2
IT Manager,technischen,0.009685309048313842,42,11.1
IT Manager,vergleichbare,0.009662303424044326,55,14.5
IT Manager,cloud,0.00963433600852202,42,11.1
IT Manager,efz,0.009548532909688387,26,6.9
Startup & Technology Entrepreneur,management,0.02617367483666713,36,32.7
Startup & Technology Entrepreneur,business,0.022903650688657226,39,35.5
Startup & Technology Entrepreneur,engineering,0.022813093784547624,30,27.3
Startup & Technology Entrepreneur,technical,0.021440541857252755,31,28.2
Startup & Technology Entrepreneur,sales,0.02044879304727577,19,17.3
Startup & Technology Entrepreneur,systems,0.018701381157420913,24,21.8
Startup & Technology Entrepreneur,ai,0.01793948511299089,24,21.8
Startup & Technology Entrepreneur,tools,0.017733782550461707,27,24.5
Startup & Technology Entrepreneur,office,0.017181130799278282,25,22.7
Startup & Technology Entrepreneur,startup,0.015917042563943738,30,27.3
Startup & Technology Entrepreneur,english,0.015902423235087667,38,34.5
Startup & Technology Entrepreneur,process,0.015292277343884674,28,25.5
Startup & Technology Entrepreneur,development,0.015203807986785453,30,27.3
Startup & Technology Entrepreneur,data,0.01498842561439233,22,20.0
Startup & Technology Entrepreneur,design,0.014952364099192253,14,12.7
Startup & Technology Entrepreneur,innovation,0.014877156958745016,27,24.5
Startup & Technology Entrepreneur,project,0.014746366416171908,17,15.5
Startup & Technology Entrepreneur,client,0.01469661514589397,12,10.9
Startup & Technology Entrepreneur,deutsch,0.014366353045840847,19,17.3
Startup & Technology Entrepreneur,us,0.014103791023707844,31,28.2
Startup & Technology Entrepreneur,german,0.013759035795492385,32,29.1
Startup & Technology Entrepreneur,solutions,0.013693889322337907,29,26.4
Startup & Technology Entrepreneur,quality,0.013426146238848205,18,16.4
Startup & Technology Entrepreneur,finance,0.013227866622990258,13,11.8
Startup & Technology Entrepreneur,cloud,0.013190114632172036,13,11.8
Startup & Technology Entrepreneur,interesse,0.012974424551093607,17,15.5
Startup & Technology Entrepreneur,building,0.012946506697340472,24,21.8
Startup & Technology Entrepreneur,into,0.012231054504092374,24,21.8
Startup & Technology Entrepreneur,kunden,0.012090418619381997,13,11.8
Startup & Technology Entrepreneur,mechanical,0.012023990850080428,9,8.2
Startup & Technology Entrepreneur,product,0.011959782650241984,18,16.4
Startup & Technology Entrepreneur,strategic,0.011899493111948463,16,14.5
Startup & Technology Entrepreneur,customer,0.01186710995774497,20,18.2
Startup & Technology Entrepreneur,per,0.011715220830869622,21,19.1
Startup & Technology Entrepreneur,impact,0.011282044023411812,17,15.5
Startup & Technology Entrepreneur,swiss,0.011251012809072244,13,11.8
Startup & Technology Entrepreneur,microsoft,0.011134575010647086,9,8.2
Startup & Technology Entrepreneur,projects,0.011124393593581298,18,16.4
Startup & Technology Entrepreneur,field,0.01110385923462121,21,19.1
Startup & Technology Entrepreneur,talent,0.010965862102197844,16,14.5
Startup & Technology Entrepreneur,industry,0.010904176959606217,23,20.9
Startup & Technology Entrepreneur,freude,0.010790598904833942,11,10.0
Startup & Technology Entrepreneur,umgang,0.010762367218388729,8,7.3
Startup & Technology Entrepreneur,universität,0.010729797975709875,5,4.5
Startup & Technology Entrepreneur,software,0.010649666292411342,15,13.6
Startup & Technology Entrepreneur,customers,0.010641924406605002,14,12.7
Startup & Technology Entrepreneur,people,0.010581872337456267,22,20.0
Startup & Technology Entrepreneur,recruitment,0.01057903035488826,14,12.7
Startup & Technology Entrepreneur,exceptional,0.010314951288098789,22,20.0
Startup & Technology Entrepreneur,ownership,0.010291940315453944,15,13.6
Supply Chain & Operations Manager,management,0.04230429192163794,23,53.5
Supply Chain & Operations Manager,sap,0.03509630804198275,12,27.9
Supply Chain & Operations Manager,deutsch,0.031965538960489065,28,65.1
Supply Chain & Operations Manager,zwingend,0.031010964917504633,5,11.6
Supply Chain & Operations Manager,supply,0.027826950412068858,16,37.2
Supply Chain & Operations Manager,suche,0.027625785202604534,3,7.0
Supply Chain & Operations Manager,kunden,0.02750047190355323,12,27.9
Supply Chain & Operations Manager,englischkenntnisse,0.02681060486468967,20,46.5
Supply Chain & Operations Manager,supply chain,0.025882722518946518,16,37.2
Supply Chain & Operations Manager,chain,0.02579465169263376,18,41.9
Supply Chain & Operations Manager,business,0.02534482314568385,12,27.9
Supply Chain & Operations Manager,weitere,0.024929464473126755,13,30.2
Supply Chain & Operations Manager,englisch,0.024816584050355472,16,37.2
Supply Chain & Operations Manager,logistik,0.024604275508239612,8,18.6
Supply Chain & Operations Manager,deutsch englischkenntnisse,0.023323706590000288,14,32.6
Supply Chain & Operations Manager,marketing,0.021926837233139054,7,16.3
Supply Chain & Operations Manager,product,0.021668935222665726,6,14.0
Supply Chain & Operations Manager,field,0.02124739972137222,4,9.3
Supply Chain & Operations Manager,betriebswirtschaft,0.02094708723116894,12,27.9
Supply Chain & Operations Manager,erfahrungen,0.02093177100098086,6,14.0
Supply Chain & Operations Manager,anforderungen,0.020839088526941916,9,20.9
Supply Chain & Operations Manager,operations,0.020795887356575574,10,23.3
Supply Chain & Operations Manager,sales,0.019795932568413242,5,11.6
Supply Chain & Operations Manager,ag,0.01917230411730003,8,18.6
Supply Chain & Operations Manager,sicher,0.018949934152065816,10,23.3
Supply Chain & Operations Manager,entwicklung,0.018788920116034225,9,20.9
Supply Chain & Operations Manager,group,0.018565448686395786,7,16.3
Supply Chain & Operations Manager,informationen,0.01855999505288075,8,18.6
Supply Chain & Operations Manager,aktiv,0.018226979205017726,12,27.9
Supply Chain & Operations Manager,weiterentwicklung,0.018154514691493196,8,18.6
Supply Chain & Operations Manager,abgeschlossene,0.018100113066107235,11,25.6
Supply Chain & Operations Manager,vergleichbaren,0.017927754514607736,9,20.9
Supply Chain & Operations Manager,innerhalb,0.017789857932850515,9,20.9
Supply Chain & Operations Manager,abgeschlossenes,0.0170063151127013,12,27.9
Supply Chain & Operations Manager,verständnis,0.016993216882894298,7,16.3
Supply Chain & Operations Manager,industrie,0.01690983441403833,7,16.3
Supply Chain & Operations Manager,fh,0.016847851260397315,8,18.6
Supply Chain & Operations Manager,deutsch englisch,0.016740835921348913,8,18.6
Supply Chain & Operations Manager,kannst,0.016661974446324154,7,16.3
Supply Chain & Operations Manager,chain management,0.01628750658574401,7,16.3
Supply Chain & Operations Manager,supply chain management,0.01628750658574401,7,16.3
Supply Chain & Operations Manager,bereitschaft,0.016195525447747838,6,14.0
Supply Chain & Operations Manager,interesse,0.016057888876448257,10,23.3
Supply Chain & Operations Manager,freude,0.015917026070872715,6,14.0
Supply Chain & Operations Manager,service,0.015719181151146188,9,20.9
Supply Chain & Operations Manager,unterstützung,0.015590509333511148,12,27.9
Supply Chain & Operations Manager,erfolgreich,0.01536557626905265,6,14.0
Supply Chain & Operations Manager,vielfalt,0.01526815430644176,10,23.3
Supply Chain & Operations Manager,verkauf,0.015122395775839442,4,9.3
Supply Chain & Operations Manager,microsoft,0.015051388005587798,3,7.0
