year_month,source,tech_keyword,industry_keyword,article_count,total_articles_that_month,keyword_pct
2023-06,TechCrunch,,EdTech,1,236,0.4
2023-06,TechCrunch,,FinTech,12,236,5.1
2023-06,TechCrunch,,ClimateTech,3,236,1.3
2023-06,TechCrunch,GenAI,,35,236,14.8
2023-06,TechCrunch,LLM,,20,236,8.5
2023-06,TechCrunch,Infrastructure,,5,236,2.1
2023-06,TechCrunch,Semiconductors,,9,236,3.8
2023-06,TechCrunch,Web3,,11,236,4.7
2023-06,TechCrunch,,CreatorEconomy,1,236,0.4
2023-06,TechCrunch,,Ecommerce,3,236,1.3
2023-06,TechCrunch,,HealthTech,5,236,2.1
2023-06,TechCrunch,,AgriTech,1,236,0.4
2023-06,TechCrunch,,BioTech,1,236,0.4
2023-06,TechCrunch,,DigitalHealth,3,236,1.3
2023-06,TechCrunch,QuantumTech,,1,236,0.4
2023-06,TechCrunch,Robotics,,5,236,2.1
2023-06,TechCrunch,,MedTech,1,236,0.4
2023-06,TechCrunch,AgentAI,,1,236,0.4
2023-06,TechCrunch,ComputerVision,,2,236,0.8
2023-06,TechCrunch,Cybersecurity,,21,236,8.9
2023-06,TechCrunch,,DefenseTech,1,236,0.4
2023-07,HackerNews,LLM,,4,32,12.5
2023-07,HackerNews,Cybersecurity,,1,32,3.1
2023-07,HackerNews,AgentAI,,1,32,3.1
2023-07,HackerNews,GenAI,,2,32,6.2
2023-07,TechCrunch,Web3,,15,229,6.6
2023-07,TechCrunch,GenAI,,51,229,22.3
2023-07,TechCrunch,,AgriTech,1,229,0.4
2023-07,TechCrunch,,FinTech,9,229,3.9
2023-07,TechCrunch,LLM,,18,229,7.9
2023-07,TechCrunch,,HealthTech,6,229,2.6
2023-07,TechCrunch,,DigitalHealth,1,229,0.4
2023-07,TechCrunch,Robotics,,6,229,2.6
2023-07,TechCrunch,QuantumTech,,2,229,0.9
2023-07,TechCrunch,,ClimateTech,1,229,0.4
2023-07,TechCrunch,Semiconductors,,4,229,1.7
2023-07,TechCrunch,,Ecommerce,1,229,0.4
2023-07,TechCrunch,,GameTech,1,229,0.4
2023-07,TechCrunch,Infrastructure,,3,229,1.3
2023-07,TechCrunch,AgentAI,,1,229,0.4
2023-07,TechCrunch,,DefenseTech,1,229,0.4
2023-07,TechCrunch,Cybersecurity,,17,229,7.4
2023-07,TechCrunch,,Enterprise,1,229,0.4
2023-08,HackerNews,GenAI,,1,20,5.0
2023-08,HackerNews,LLM,,1,20,5.0
2023-08,HackerNews,Web3,,1,20,5.0
2023-08,HackerNews,,ClimateTech,1,20,5.0
2023-08,TechCrunch,GenAI,,43,230,18.7
2023-08,TechCrunch,LLM,,19,230,8.3
2023-08,TechCrunch,Web3,,18,230,7.8
2023-08,TechCrunch,,DefenseTech,5,230,2.2
2023-08,TechCrunch,Robotics,,10,230,4.3
2023-08,TechCrunch,Semiconductors,,11,230,4.8
2023-08,TechCrunch,Infrastructure,,5,230,2.2
2023-08,TechCrunch,QuantumTech,,2,230,0.9
2023-08,TechCrunch,,HealthTech,5,230,2.2
2023-08,TechCrunch,,ClimateTech,1,230,0.4
2023-08,TechCrunch,,FinTech,7,230,3.0
2023-08,TechCrunch,,CreatorEconomy,1,230,0.4
