job_title,mbi_profil,company,location,veroeffentlicht_am,url,quelle,Fachkompetenz_Score,Sozialkompetenz_Score,Methodenkompetenz_Score,Personalkompetenz_Score,Fachdetail_Score,FK_Waren_Produktkenntnisse,FK_Komplexe_Fertigkeiten,FK_Fremdsprachen,FK_Fuehrerschein,FK_Auslandserfahrung,FK_Vertriebserfahrung,FK_Projekterfahrung,FK_EDV_Kenntnisse,FK_Berufsausbildung,FK_Branchenerfahrung,FD_Python,FD_Java,FD_JavaScript_TypeScript,FD_CSharp,FD_SQL,FD_R_Statistik,FD_HTML_CSS,FD_PHP_Ruby_andere,FD_Cloud_AWS_Azure_GCP,FD_Docker_Kubernetes,FD_DevOps_CICD,FD_Data_Science_ML,FD_AI_KI,FD_NLP_LLM,FD_Data_Analysis_BI,FD_Data_Engineering_ETL,FD_SAP,FD_Salesforce,FD_ERP,FD_CRM,FD_MS_Office,FD_Jira_Confluence,FD_Cyber_Security,FD_Datenschutz_DSGVO,FD_UX_UI_Design,FD_API_Webentwicklung,FD_Scraping_Automatisierung,FD_Agile_Scrum,FD_Berufserfahrung_Jahre,SK_Kooperationsfaehigkeit,SK_Verhandlungsgeschick,SK_Durchsetzungsvermoegen,SK_Kritikfaehigkeit,SK_Teamfaehigkeit,SK_Hilfsbereitschaft,SK_Fairness,SK_Kundenorientierung,SK_Vorurteilsfreiheit,SK_Respekt,MK_Konzeptionelle_Staerke,MK_Effektives_Arbeiten,MK_Projektmanagement,MK_Strategieentwicklung,MK_Praesentation,MK_Selbstmanagement,MK_Moderationstechnik,MK_Koordination,MK_Kreatives_Denken,MK_Stressmanagement,PK_Ausstrahlung_Charisma,PK_Aufgeschlossenheit,PK_Unternehmerisches_Denken,PK_Menschenkenntnis,PK_Empathie,PK_Auffassungsgabe,PK_Motivation,PK_Interesse,PK_Belastbarkeit,PK_Entschlossenheit
Senior Lead - Security Engineering and Architecture,Technology Solution Architect,On AG,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=700fb620ce2f62fd,indeed,3,4,4,3,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
Performance Development Intern,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=96a7978157772693,indeed,5,3,2,2,3,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
System Engineer (Digital Solution Development) (m/f/d),Technology Solution Architect,Winterthur Gas & Diesel Switzerland Ltd,"Homeoffice in Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=d63b7936adab91c8,indeed,6,3,5,2,9,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Development Expert Combustion,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=79203bd58a49d9a0,indeed,5,3,3,2,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
Spare Part Order Coordinator,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=38c3884b6758c3d7,indeed,6,4,5,3,4,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
Expert Classification,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=53a2634747cd3d5a,indeed,6,3,4,2,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Business Analyst – Private Banking,Transforming & Managing Digital Business,Taleo Consulting,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=9acc2e6d45e14bd0,indeed,3,3,9,3,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1
Senior Solution Architect – SAP Finance & Banking Solutions 80-100% (m/f/d) - (Contract through our external payroll partner until 31.03.2028 with possible extension),Technology Solution Architect,Julius Baer,"8048 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=f09bf3e651834f0c,indeed,5,3,5,5,5,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0
Travel Intrapreneur - Start your Own Travel Brand (Hiking and trekking trips),Transforming & Managing Digital Business,Ventura TRAVEL,"Homeoffice in Zürich, ZH",,https://ch.indeed.com/viewjob?jk=3eb2f6f17f00355a,indeed,6,5,7,3,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
Senior Technical Project Manager,Transforming & Managing Digital Business,Avaloq,"Hybrides Arbeiten in 8041 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=364601f9ff160af6,indeed,5,5,7,2,3,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0
