job_title,mbi_profil,company,location,veroeffentlicht_am,url,quelle,Fachkompetenz_Score,Sozialkompetenz_Score,Methodenkompetenz_Score,Personalkompetenz_Score,Fachdetail_Score,FK_Waren_Produktkenntnisse,FK_Komplexe_Fertigkeiten,FK_Fremdsprachen,FK_Fuehrerschein,FK_Auslandserfahrung,FK_Vertriebserfahrung,FK_Projekterfahrung,FK_EDV_Kenntnisse,FK_Berufsausbildung,FK_Branchenerfahrung,FD_Python,FD_Java,FD_JavaScript_TypeScript,FD_CSharp,FD_SQL,FD_R_Statistik,FD_HTML_CSS,FD_PHP_Ruby_andere,FD_Cloud_AWS_Azure_GCP,FD_Docker_Kubernetes,FD_DevOps_CICD,FD_Data_Science_ML,FD_AI_KI,FD_NLP_LLM,FD_Data_Analysis_BI,FD_Data_Engineering_ETL,FD_SAP,FD_Salesforce,FD_ERP,FD_CRM,FD_MS_Office,FD_Jira_Confluence,FD_Cyber_Security,FD_Datenschutz_DSGVO,FD_UX_UI_Design,FD_API_Webentwicklung,FD_Scraping_Automatisierung,FD_Agile_Scrum,FD_Berufserfahrung_Jahre,SK_Kooperationsfaehigkeit,SK_Verhandlungsgeschick,SK_Durchsetzungsvermoegen,SK_Kritikfaehigkeit,SK_Teamfaehigkeit,SK_Hilfsbereitschaft,SK_Fairness,SK_Kundenorientierung,SK_Vorurteilsfreiheit,SK_Respekt,MK_Konzeptionelle_Staerke,MK_Effektives_Arbeiten,MK_Projektmanagement,MK_Strategieentwicklung,MK_Praesentation,MK_Selbstmanagement,MK_Moderationstechnik,MK_Koordination,MK_Kreatives_Denken,MK_Stressmanagement,PK_Ausstrahlung_Charisma,PK_Aufgeschlossenheit,PK_Unternehmerisches_Denken,PK_Menschenkenntnis,PK_Empathie,PK_Auffassungsgabe,PK_Motivation,PK_Interesse,PK_Belastbarkeit,PK_Entschlossenheit
Business Development Manager Schweiz / Österreich / Ungarn,Business Development,Safran Vectronix AG,"Heerbrugg, SG",,https://ch.indeed.com/viewjob?jk=85ee724858cdce1b,indeed,7,3,4,3,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Business Development Manager Schweiz - Österreich - Ungarn,Business Development,Safran,"Heerbrugg, SG",,https://ch.indeed.com/viewjob?jk=f01f51e988793c56,indeed,7,3,4,3,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
Sales Officer,Business Development,Escatec,"Heerbrugg, SG",,https://ch.indeed.com/viewjob?jk=deaefea76c05e31f,indeed,5,2,7,5,2,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
Senior Business IT Specialist (w/m/d),Technology Solution Architect,VP Bank AG,"Vaduz, LI",,https://ch.indeed.com/viewjob?jk=918b82e823a3632d,indeed,6,3,4,5,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0
Head of Strategy and Operations Excellence,Supply Chain & Operations Management,HILTI,"Homeoffice in Schaan, LI",,https://ch.indeed.com/viewjob?jk=cf25a61627cf237e,indeed,6,4,7,4,4,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0
Student Support – ESG Data & Quantitative Analysis,Transforming & Managing Digital Business,LGT Capital Partners,"Homeoffice in Pfäffikon, ZH",,https://ch.indeed.com/viewjob?jk=6eaff243090bf7ff,indeed,4,5,5,5,9,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0
"Consultant, Switzerland",Transforming & Managing Digital Business,Boston Consulting Group,"8002 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=cdc6213a0e42d729,indeed,6,6,7,2,3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Project Management Officer,Transforming & Managing Digital Business,Randstad,"8340 Hinwil, ZH",,https://ch.indeed.com/viewjob?jk=45d1ec9d96d257d1,indeed,6,4,6,3,3,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0
Junior Consultant,Transforming & Managing Digital Business,Zellweger Management Consultants,"Pfäffikon, ZH",,https://ch.indeed.com/viewjob?jk=5bd4bdb92e495a64,indeed,4,3,3,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Junior Portfolio Manager/Investment Analyst, 60-100% (m/f) in Zurich",Transforming & Managing Digital Business,Tramondo Investment Partners AG,"8002 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=a6d642142a877e77,indeed,6,5,6,3,4,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
Global Business Development & Sales Partner,Business Development,MannieDev,"Homeoffice in Zürich, ZH",,https://ch.indeed.com/viewjob?jk=fb404cb5780db7e0,indeed,3,2,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Project Portfolio Manager,Transforming & Managing Digital Business,PwC,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=5edbf7e2c721d53a,indeed,7,3,9,5,4,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0
Verkaufsberater:in Business Developer Frauenfeld / Stein am Rhein (m/w/d),Business Development,Coca-Cola HBC,"Stein am Rhein, SH",,https://ch.indeed.com/viewjob?jk=e2e44e3954fc8e43,indeed,5,3,4,3,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
Senior Solutions Consultant (German Speaker),Transforming & Managing Digital Business,Perk,"Homeoffice in Zürich, ZH",,https://ch.indeed.com/viewjob?jk=80e4e043fec8ea8e,indeed,7,5,6,4,5,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0
CE&O Graduate Program,Transforming & Managing Digital Business,Biogen,"Baar, ZG",,https://ch.indeed.com/viewjob?jk=44a32aff4d895e30,indeed,5,4,6,3,5,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
Senior OneStream Developer (m/f/d),Technology Solution Architect,Work Selection AG,Kanton Aargau,,https://ch.indeed.com/viewjob?jk=cb47b1a7c39910cb,indeed,7,4,8,2,5,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
New Development System Engineer,Technology Solution Architect,Gutor,"Wettingen, AG",,https://ch.indeed.com/viewjob?jk=d37ae53ac6ef23ab,indeed,5,5,6,2,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Building Segment Leader,Transforming & Managing Digital Business,ABB,"5405 Baden, AG",,https://ch.indeed.com/viewjob?jk=fbd7dde076e5814d,indeed,5,3,5,2,5,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Senior Process-/Org.-Developer (m/w/d),Technology Solution Architect,Liebherr-Components AG,"Baden, AG",,https://ch.indeed.com/viewjob?jk=3defa9869e885334,indeed,6,2,8,3,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0
"Functional Business Analyst, Trading & Origination (all) 100%",Transforming & Managing Digital Business,Alpiq Holding AG,"Olten, SO",,https://ch.indeed.com/viewjob?jk=f220cf79e08a8b59,indeed,6,6,8,4,2,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1
"Sustainability Project Manager (m/f/d), (80-100%)",Transforming & Managing Digital Business,Accelleron,"Baden, AG",,https://ch.indeed.com/viewjob?jk=ecf82be1b55ff4f8,indeed,7,3,7,3,3,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
Associate Service Project Manager (80-100%),Transforming & Managing Digital Business,ABB,"Homeoffice in 5405 Baden, AG",,https://ch.indeed.com/viewjob?jk=9fa8c79c2256d04c,indeed,7,4,8,2,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"Solution Architect (all, 80-100%)",Technology Solution Architect,Mammut Sports Group AG,"Seon, AG",,https://ch.indeed.com/viewjob?jk=f5430b4367ba1fa9,indeed,6,3,8,4,7,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0
"Digital Technology Partner R&D (f/m/d), 100%",Transforming & Managing Digital Business,Bachem Holding AG,"Homeoffice in 4416 Bubendorf, BL",,https://ch.indeed.com/viewjob?jk=244dfef1e1bb14fb,indeed,4,3,7,3,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
"Project Associate, Omya Performance Polymer Distribution",Supply Chain & Operations Management,Omya International AG,"4665 Oftringen, AG",,https://ch.indeed.com/viewjob?jk=2dfb8fe4b71961d1,indeed,5,4,8,3,4,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
Service Product Manager Renewable Power,Start-up & Scale-up Entrepreneurship,ABB,"Untersiggenthal, AG",,https://ch.indeed.com/viewjob?jk=0171e6789b5738de,indeed,6,4,7,2,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
ServiceNow Experts Wanted!,Transforming & Managing Digital Business,Callista Group AG,"8001 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=4558d9644fd3a5a9,indeed,2,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Business Development Manager,Business Development,Optotune,"Homeoffice in Dietikon, ZH",,https://ch.indeed.com/viewjob?jk=bcad0b1bb0b1b1b8,indeed,4,1,6,5,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
ServiceNow Experts Wanted!,Transforming & Managing Digital Business,Callista Group AG,"8400 Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=f7d134d2fa204318,indeed,2,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Technical Expert Mechatronics Remote Monitoring 1,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Homeoffice in Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=dbf7ba8f82132e27,indeed,5,3,3,1,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Strategic Purchaser,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=871be36e38d77544,indeed,5,4,5,2,6,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Team Leader Technical Service Superintendents,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Homeoffice in Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=afdf30f68d4e62db,indeed,4,3,4,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Superintendent Technical Engineer Operation Service Support,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=a302ab406567ed92,indeed,5,2,3,3,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Expert Classification Future Fuels,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=fec1d807d6bf233f,indeed,6,3,4,2,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
Emissions Compliance Expert,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=33a32b669ef93579,indeed,6,5,6,1,4,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
HiL Rig System and Testing Engineer,Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=763b91a7b2f68564,indeed,3,2,2,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
ICT-Supporter (m/w/d),Transforming & Managing Digital Business,Winterthur Gas & Diesel Switzerland Ltd,"Winterthur, ZH",,https://ch.indeed.com/viewjob?jk=7e4ab695d6487651,indeed,4,3,4,2,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
Senior Director Product Management,Start-up & Scale-up Entrepreneurship,TE Connectivity,"8200 Schaffhausen, SH",,https://ch.indeed.com/viewjob?jk=150395fe05dcff7b,indeed,5,3,6,3,2,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0
Senior Engineering Specialist,Transforming & Managing Digital Business,Nestlé,"Konolfingen, BE",,https://ch.indeed.com/viewjob?jk=2e53fff00e051773,indeed,8,4,6,2,4,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
Betriebsmitarbeiter auf Abruf (m/w/d) - Schwarzenburg BE,Transforming & Managing Digital Business,Compass Group,"Schwarzenburg, BE",,https://ch.indeed.com/viewjob?jk=2e34bce0aee4db7a,indeed,4,4,2,3,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
ICT-Architekt/-in 80–100%,Transforming & Managing Digital Business,ictjobs.ch,"Zimmerwald, BE",,https://ch.indeed.com/viewjob?jk=0490da0deab20364,indeed,5,4,4,4,4,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
"Digital Trust and Safety Analyst | Relocation to Sofia, Bulgaria with German (m/f/d)",Transforming & Managing Digital Business,TELUS Digital,Homeoffice in Schweiz,,https://ch.indeed.com/viewjob?jk=adfc7ef2cf6a0860,indeed,4,5,5,1,4,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Back Office Gaming Support Specialist | Relocation to Sofia, Bulgaria with German and English",Transforming & Managing Digital Business,TELUS Digital,Schweiz,,https://ch.indeed.com/viewjob?jk=7e4c7988bf701cd4,indeed,3,5,5,3,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
"Solutions Consultant | Relocation to Sofia, Bulgaria - Italian and English (m/f/d)",Transforming & Managing Digital Business,TELUS Digital,Schweiz,,https://ch.indeed.com/viewjob?jk=deaa78524259d422,indeed,5,5,7,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0
"Delivery Consultant | Relocation to Sofia, Bulgaria with German and english (m/f/d)",Transforming & Managing Digital Business,TELUS Digital,Homeoffice in Schweiz,,https://ch.indeed.com/viewjob?jk=4aec69bb880e488b,indeed,3,5,6,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Head Intraday Algorithmic Trading,Transforming & Managing Digital Business,Alpiq Holding AG,"Olten, SO",,https://ch.indeed.com/viewjob?jk=4bb98e7fe4dcc6fc,indeed,3,6,7,4,6,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0
Energy Finance Graduate Program (all),Transforming & Managing Digital Business,Alpiq Holding AG,"Olten, SO",,https://ch.indeed.com/viewjob?jk=a69ad2a5d830a80e,indeed,3,5,6,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1
Global Design Project Manager,Transforming & Managing Digital Business,Bystronic,"Niederoenz, BE",,https://ch.indeed.com/viewjob?jk=bc66c80822d98455,indeed,7,6,5,5,3,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
Project Manager (m/f/d),Transforming & Managing Digital Business,Bruker,"4414 Füllinsdorf, BL",,https://ch.indeed.com/viewjob?jk=8b98cf3b0f7f43e7,indeed,7,5,8,2,3,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"Business Development Manager, Biopharma Product Testing Switzerland",Business Development,Eurofins Switzerland BioPharma,"Hybrides Arbeiten in 5012 Schönenwerd, SO",,https://ch.indeed.com/viewjob?jk=9b68d65f834aa27d,indeed,6,4,6,2,3,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
Senior Application Analyst 80–100 % (m/w/d),Transforming & Managing Digital Business,Bank Frick AG,"Balzers, LI",,https://ch.indeed.com/viewjob?jk=aae747613d15f991,indeed,5,2,3,2,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"Project Coordinator Community Development Operations, 80-100% (ID 1944)",Transforming & Managing Digital Business,AO Foundation,"Davos Platz, GR",,https://ch.indeed.com/viewjob?jk=9ae7c1e0dc42574e,indeed,4,3,6,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0
Business Process System Engineer 80 - 100 % (f/m/d),Transforming & Managing Digital Business,Hamilton Company,"Bonaduz, GR",,https://ch.indeed.com/viewjob?jk=02b49303f61d07f4,indeed,6,4,7,2,3,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Project Manager (M/W/D),Transforming & Managing Digital Business,Weidmann Holding AG,"Bad Ragaz, SG",,https://ch.indeed.com/viewjob?jk=0da0d5d889f7e31a,indeed,7,7,6,3,2,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
