course_id,course_title,ects,language,EC_Opportunity,EC_Strategic,EC_Commitment,EC_Analytical,EC_Innovative,EC_Human,EC_Operational,EC_Relationship,EC_Learning,EC_Personal_Strength,EC_Technical,EC_Ethical,Sector_GenAI,Sector_HealthTech,Sector_MedTech,Sector_BioTech,Sector_Robotics,n_ec_domains_covered,ec_total_score,sector_total_score
"7,005",RPV: Prompt Engineering: Innovation through generative AI,4,EN,0,0,0,2,0,0,2,3,1,2,3,0,3,0,0,0,0,6,13,3
"7,006",FPV: Psychologie der Innovationsprozesse,4,DE,0,0,1,0,0,2,2,1,3,0,0,0,0,0,0,0,0,5,9,0
"7,007",RPV: Low Code Development Platforms,4,EN,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,3,7,0
"7,010",IC: Strategic Management of New Technologies in Companies,4,EN,0,0,0,0,0,3,3,3,1,1,1,0,0,0,0,0,0,6,12,0
"7,012",R & D Management,3,EN,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,3,0
"7,014",Produktionsmanagement,3,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,015",Introduction to Business Process Management,3,EN,0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,3,7,0
"7,016",Managing IT Security and Privacy in Organisations,3,EN,0,0,1,1,0,2,1,0,1,0,0,3,0,0,0,0,0,6,9,0
"7,018",RPV: Digital Business and IT Innovations,4,EN,0,3,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,5,10,0
"7,020",IC: Aktuelle Managementfragestellungen im Schweizer,4,DE,1,1,1,2,1,2,3,3,0,1,0,0,0,2,0,0,0,9,15,2
"7,022",Cloud Computing für datengetriebene Geschäftsmodelle:,6,DE,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,3,6,1
"7,023",Tech Investing ,3,EN,0,0,0,1,0,2,0,0,1,0,2,0,0,0,0,0,0,4,6,0
"7,024",Operative Excellence (OPEX),3,EN,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,4,7,0
"7,025",Methods: Scalable Tech Stacks for Business Ideas,3,EN,0,0,0,1,1,0,2,0,1,0,3,0,0,0,0,0,0,5,8,0
"7,026",Supply Chain Management I,3,DE,0,0,1,1,0,0,3,0,1,0,0,2,0,0,0,0,0,5,8,0
"7,027",Digitalisierung in der Industrie: Smart Production und Services,3,DE,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,0
