Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Bits,FINTECH,CONSUMER FINANCE,,CONSUMER FINANCE,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Seal,B2B,OPERATIONS,,OPERATIONS,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
PowerUs,CONSUMER,JOB AND CAREER SERVICES,,JOB AND CAREER SERVICES,2020.0,,,Accelerator,Y Combinator,Germany,2020.0,Seed,,,Active
QuestDB,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Shuttle,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Lightdash,B2B,ANALYTICS,,ANALYTICS,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Depict,B2B,MARKETING,,MARKETING,2020.0,,,Accelerator,Y Combinator,Sweden,2020.0,Seed,,,Active
Mytos,HEALTHCARE,INDUSTRIAL BIO,,INDUSTRIAL BIO,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Quickchat AI,B2B,PRODUCTIVITY,,PRODUCTIVITY,2018.0,,,Accelerator,Y Combinator,Poland,2018.0,Seed,,,Active
Duffel,CONSUMER,"TRAVEL, LEISURE AND TOURISM",,"TRAVEL, LEISURE AND TOURISM",2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Easol,B2B,,,,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Meru HealthSan,HEALTHCARE,CONSUMER HEALTH AND WELLNESS,,CONSUMER HEALTH AND WELLNESS,2018.0,,,Accelerator,Y Combinator,USA,2018.0,Seed,,,Active
Veriff,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2018.0,,,Accelerator,Y Combinator,Estonia,2018.0,Seed,,,Active
Aerones,INDUSTRIALS,CLIMATE,,CLIMATE,2018.0,,,Accelerator,Y Combinator,Latvia,2018.0,Seed,,,Active
Psylaris,HEALTHCARE,HEALTHCARE SERVICES,,HEALTHCARE SERVICES,2018.0,,,Accelerator,Y Combinator,Netherlands,2018.0,Seed,,,Active
Let's Do This,CONSUMER,"TRAVEL, LEISURE AND TOURISM",,"TRAVEL, LEISURE AND TOURISM",2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Plexus,CONSUMER,VIRTUAL AND AUGMENTED REALITY,,VIRTUAL AND AUGMENTED REALITY,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Slite,B2B,PRODUCTIVITY,,PRODUCTIVITY,2018.0,,,Accelerator,Y Combinator,Germany,2018.0,Seed,,,Active
Sixfold Bioscience,HEALTHCARE,DRUG DISCOVERY AND DELIVERY,,DRUG DISCOVERY AND DELIVERY,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Officely,B2B,SALES,,SALES,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Muzz,CONSUMER,SOCIAL,,SOCIAL,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Airthium,INDUSTRIALS,CLIMATE,,CLIMATE,2017.0,,,Accelerator,Y Combinator,France,2017.0,Seed,,,Active
Entocycle,INDUSTRIALS,AGRICULTURE,,AGRICULTURE,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Standard AISan,B2B,RETAIL,,RETAIL,2017.0,,,Accelerator,Y Combinator,USA,2017.0,Seed,,,Active
The Centre for Effective Altruism,UNSPECIFIED,,,,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
BIOS Health,HEALTHCARE,,,,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Bitrise,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2017.0,,,Accelerator,Y Combinator,Hungary,2017.0,Seed,,,Active
Request Network,FINTECH,PAYMENTS,,PAYMENTS,2017.0,,,Accelerator,Y Combinator,France,2017.0,Seed,,,Active
Ochre Bio,HEALTHCARE,THERAPEUTICS,,THERAPEUTICS,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
GiveAwaySan,CONSUMER,HOME AND PERSONAL,,HOME AND PERSONAL,2020.0,,,Accelerator,Y Combinator,USA,2020.0,Seed,,,Active
Raycast,B2B,PRODUCTIVITY,,PRODUCTIVITY,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Junction,HEALTHCARE,CONSUMER HEALTH AND WELLNESS,,CONSUMER HEALTH AND WELLNESS,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Jitter,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2020.0,,,Accelerator,Y Combinator,France,2020.0,Seed,,,Active
Riot,B2B,SECURITY,,SECURITY,2020.0,,,Accelerator,Y Combinator,France,2020.0,Seed,,,Active
Photoroom,CONSUMER,CONTENT,,CONTENT,2020.0,,,Accelerator,Y Combinator,France,2020.0,Seed,,,Active
Revenir,FINTECH,CONSUMER FINANCE,,CONSUMER FINANCE,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
ToDesktop,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2020.0,,,Accelerator,Y Combinator,Ireland,2020.0,Seed,,,Active
Krak,HEALTHCARE,CONSUMER HEALTH AND WELLNESS,,CONSUMER HEALTH AND WELLNESS,2019.0,,,Accelerator,Y Combinator,Poland,2019.0,Seed,,,Active
PredictLeads,B2B,ANALYTICS,,ANALYTICS,2019.0,,,Accelerator,Y Combinator,Slovenia,2019.0,Seed,,,Active
OpenReplay,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2019.0,,,Accelerator,Y Combinator,France,2019.0,Seed,,,Active
Kitekraft,INDUSTRIALS,ENERGY,,ENERGY,2019.0,,,Accelerator,Y Combinator,Germany,2019.0,Seed,,,Active
Prolific,B2B,,,,2019.0,,,Accelerator,Y Combinator,United Kingdom,2019.0,Seed,,,Active
Verto,FINTECH,PAYMENTS,,PAYMENTS,2019.0,,,Accelerator,Y Combinator,United Kingdom,2019.0,Seed,,,Active
Our World in Data,EDUCATION,,,,2019.0,,,Accelerator,Y Combinator,United Kingdom,2019.0,Seed,,,Active
DaggerSan,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2019.0,,,Accelerator,Y Combinator,USA,2019.0,Seed,,,Active
Aura Vision,B2B,RETAIL,,RETAIL,2019.0,,,Accelerator,Y Combinator,United Kingdom,2019.0,Seed,,,Active
Caribou,FINTECH,,,,2019.0,,,Accelerator,Y Combinator,United Kingdom,2019.0,Seed,,,Active
PNOĒ,HEALTHCARE,HEALTHCARE SERVICES,,HEALTHCARE SERVICES,2019.0,,,Accelerator,Y Combinator,Greece,2019.0,Seed,,,Active
Supernova,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2019.0,,,Accelerator,Y Combinator,Czechia,2019.0,Seed,,,Active
OktetoSan,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2019.0,,,Accelerator,Y Combinator,USA,2019.0,Seed,,,Active
Demodesk,B2B,SALES,,SALES,2019.0,,,Accelerator,Y Combinator,Germany,2019.0,Seed,,,Active
AvoSan,B2B,ANALYTICS,,ANALYTICS,2019.0,,,Accelerator,Y Combinator,USA,2019.0,Seed,,,Active
Superside,B2B,PRODUCTIVITY,,PRODUCTIVITY,2016.0,,,Accelerator,Y Combinator,Norway,2016.0,Seed,,,Active
Sphere Secure Workspace,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Songkick,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Catamaran,FINTECH,INSURANCE,,INSURANCE,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Tremor,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,Switzerland,2023.0,Seed,,,Active
Langfuse,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Versori,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Vizzly,B2B,ANALYTICS,,ANALYTICS,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Tranch,FINTECH,PAYMENTS,,PAYMENTS,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
Pina Earth,INDUSTRIALS,CLIMATE,,CLIMATE,2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
QuanThe,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2022.0,,,Accelerator,Y Combinator,Netherlands,2022.0,Seed,,,Active
Joe,FINTECH,CONSUMER FINANCE,,CONSUMER FINANCE,2022.0,,,Accelerator,Y Combinator,France,2022.0,Seed,,,Active
Fuell,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2022.0,,,Accelerator,Y Combinator,Spain,2022.0,Seed,,,Active
Speechly,B2B,,,,2022.0,,,Accelerator,Y Combinator,Finland,2022.0,Seed,,,Active
Sarus,B2B,ANALYTICS,,ANALYTICS,2022.0,,,Accelerator,Y Combinator,France,2022.0,Seed,,,Active
GamerPay,CONSUMER,GAMING,,GAMING,2021.0,,,Accelerator,Y Combinator,Denmark,2021.0,Seed,,,Active
Kapacity.io,INDUSTRIALS,ENERGY,,ENERGY,2021.0,,,Accelerator,Y Combinator,Finland,2021.0,Seed,,,Active
Onfolk,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
ArenguA,B2B,,,,2021.0,,,Accelerator,Y Combinator,Spain,2021.0,Seed,,,Active
PipeBio,HEALTHCARE,THERAPEUTICS,,THERAPEUTICS,2021.0,,,Accelerator,Y Combinator,Denmark,2021.0,Seed,,,Active
Kitemaker,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Norway,2021.0,Seed,,,Active
Striga,FINTECH,PAYMENTS,,PAYMENTS,2021.0,,,Accelerator,Y Combinator,Estonia,2021.0,Seed,,,Active
ClipDrop,CONSUMER,CONTENT,,CONTENT,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
Segments.ai,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Belgium,2021.0,Seed,,,Active
FancyUnited Kingdom,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2020.0,,,Accelerator,Y Combinator,,2020.0,Seed,,,Active
Together Video Chat,CONSUMER,HOME AND PERSONAL,,HOME AND PERSONAL,2020.0,,,Accelerator,Y Combinator,Spain,2020.0,Seed,,,Active
Strive School,EDUCATION,,,,2020.0,,,Accelerator,Y Combinator,Germany,2020.0,Seed,,,Active
Hypermile,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Look After My Bills,FINTECH,CONSUMER FINANCE,,CONSUMER FINANCE,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Mojo,CONSUMER,CONTENT,,CONTENT,2018.0,,,Accelerator,Y Combinator,France,2018.0,Seed,,,Active
Dataform,B2B,ANALYTICS,,ANALYTICS,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Headstart,B2B,RECRUITING AND TALENT,,RECRUITING AND TALENT,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Opearlo,CONSUMER,CONTENT,,CONTENT,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Eduflow,EDUCATION,,,,2017.0,,,Accelerator,Y Combinator,Denmark,2017.0,Seed,,,Active
Fat Llama,CONSUMER,CONSUMER ELECTRONICS,,CONSUMER ELECTRONICS,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
WavySan,CONSUMER,VIRTUAL AND AUGMENTED REALITY,,VIRTUAL AND AUGMENTED REALITY,2017.0,,,Accelerator,Y Combinator,USA,2017.0,Seed,,,Active
Shipamax,B2B,SUPPLY CHAIN AND LOGISTICS,,SUPPLY CHAIN AND LOGISTICS,2017.0,,,Accelerator,Y Combinator,United Kingdom,2017.0,Seed,,,Active
Data Mechanics,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2019.0,,,Accelerator,Y Combinator,France,2019.0,Seed,,,Active
Bulldozair,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,,CONSTRUCTION,2016.0,,,Accelerator,Y Combinator,France,2016.0,Seed,,,Active
Localyze,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2019.0,,,Accelerator,Y Combinator,Germany,2019.0,Seed,,,Active
AXDRAFT,B2B,LEGAL,,LEGAL,2019.0,,,Accelerator,Y Combinator,Ukraine,2019.0,Seed,,,Active
Wheelys Café,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2015.0,,,Accelerator,Y Combinator,Sweden,2015.0,Seed,,,Active
Afrostream,CONSUMER,CONTENT,,CONTENT,2015.0,,,Accelerator,Y Combinator,France,2015.0,Seed,,,Active
Ljubljana,,,,,,,,Accelerator,Y Combinator,Slovenia,,Seed,,,Active
Infogami,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Invaria,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Quary,B2B,ANALYTICS,,ANALYTICS,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Stitch Technologies,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
CodeStory,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Unhaze,B2B,SALES,,SALES,2023.0,,,Accelerator,Y Combinator,Denmark,2023.0,Seed,,,Active
Atla,B2B,,,,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Sorted,B2B,OPERATIONS,,OPERATIONS,2023.0,,,Accelerator,Y Combinator,Denmark,2023.0,Seed,,,Active
Defer,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,France,2023.0,Seed,,,Active
GoodCourse,B2B,,,,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
GraiSan,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2022.0,,,Accelerator,Y Combinator,USA,2022.0,Seed,,,Active
Ordinary Seafood,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
CustomerOS,B2B,SALES,,SALES,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
AiSupervision,INDUSTRIALS,MANUFACTURING AND ROBOTICS,,MANUFACTURING AND ROBOTICS,2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
Aklimate,B2B,SUPPLY CHAIN AND LOGISTICS,,SUPPLY CHAIN AND LOGISTICS,2022.0,,,Accelerator,Y Combinator,United Kingdom,2022.0,Seed,,,Active
NorthwindLos,HEALTHCARE,HEALTHCARE SERVICES,,HEALTHCARE SERVICES,2022.0,,,Accelerator,Y Combinator,USA,2022.0,Seed,,,Active
Quest,CONSUMER,CONTENT,,CONTENT,2021.0,,,Accelerator,Y Combinator,Netherlands,2021.0,Seed,,,Active
Moving Parts,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Membo,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2021.0,,,Accelerator,Y Combinator,Estonia,2021.0,Seed,,,Active
Hera,B2B,PRODUCTIVITY,,PRODUCTIVITY,2021.0,,,Accelerator,Y Combinator,France,2021.0,Seed,,,Active
SolarMente,CONSUMER,,,,2021.0,,,Accelerator,Y Combinator,Spain,2021.0,Seed,,,Active
Lobby,HEALTHCARE,,,,2021.0,,,Accelerator,Y Combinator,United Kingdom,2021.0,Seed,,,Active
MeetAnyway,B2B,OPERATIONS,,OPERATIONS,2021.0,,,Accelerator,Y Combinator,Germany,2021.0,Seed,,,Active
Blink,INDUSTRIALS,AUTOMOTIVE,,AUTOMOTIVE,2021.0,,,Accelerator,Y Combinator,Italy,2021.0,Seed,,,Active
Newslabs,,,,,,,,Accelerator,Y Combinator,Ireland,,Seed,,,Active
Codeball,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Sweden,2021.0,Seed,,,Active
Lunatic,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2021.0,,,Accelerator,Y Combinator,Austria,2021.0,Seed,,,Active
Playmaker,CONSUMER,CONTENT,,CONTENT,2021.0,,,Accelerator,Y Combinator,Denmark,2021.0,Seed,,,Active
Quell,CONSUMER,CONSUMER ELECTRONICS,,CONSUMER ELECTRONICS,2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
Nextstore,B2B,MARKETING,,MARKETING,2020.0,,,Accelerator,Y Combinator,France,2020.0,Seed,,,Active
OneKey,FINTECH,CONSUMER FINANCE,,CONSUMER FINANCE,2020.0,,,Accelerator,Y Combinator,France,2020.0,Seed,,,Active
Memo,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2020.0,,,Accelerator,Y Combinator,United Kingdom,2020.0,Seed,,,Active
The Supplant Company,CONSUMER,FOOD AND BEVERAGE,,FOOD AND BEVERAGE,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
LabelFlow,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2018.0,,,Accelerator,Y Combinator,France,2018.0,Seed,,,Active
Secured,CONSUMER,APPAREL AND COSMETICS,,APPAREL AND COSMETICS,2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Station,B2B,PRODUCTIVITY,,PRODUCTIVITY,2018.0,,,Accelerator,Y Combinator,France,2018.0,Seed,,,Active
Storyline,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2018.0,,,Accelerator,Y Combinator,United Kingdom,2018.0,Seed,,,Active
Goosebump,CONSUMER,SOCIAL,,SOCIAL,2017.0,,,Accelerator,Y Combinator,France,2017.0,Seed,,,Active
Anasen,B2B,ANALYTICS,,ANALYTICS,2017.0,,,Accelerator,Y Combinator,France,2017.0,Seed,,,Active
Snapboard,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Laserfocus,B2B,SALES,,SALES,2020.0,,,Accelerator,Y Combinator,Germany,2020.0,Seed,,,Active
UnflowNew,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2019.0,,,Accelerator,Y Combinator,USA,2019.0,Seed,,,Active
Multis,FINTECH,BANKING AND EXCHANGE,,BANKING AND EXCHANGE,2019.0,,,Accelerator,Y Combinator,France,2019.0,Seed,,,Active
Dashblock,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2019.0,,,Accelerator,Y Combinator,France,2019.0,Seed,,,Active
BuildStream,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,,CONSTRUCTION,2019.0,,,Accelerator,Y Combinator,United Kingdom,2019.0,Seed,,,Active
Coub,CONSUMER,SOCIAL,,SOCIAL,2016.0,,,Accelerator,Y Combinator,Russia,2016.0,Seed,,,Active
Mage,CONSUMER,"TRAVEL, LEISURE AND TOURISM",,"TRAVEL, LEISURE AND TOURISM",2019.0,,,Accelerator,Y Combinator,Germany,2019.0,Seed,,,Active
Whyd,CONSUMER,CONSUMER ELECTRONICS,,CONSUMER ELECTRONICS,2016.0,,,Accelerator,Y Combinator,France,2016.0,Seed,,,Active
SmartSite,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,,CONSTRUCTION,2016.0,,,Accelerator,Y Combinator,United Kingdom,2016.0,Seed,,,Active
