Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
DiploTools,AI/ML,AI/ML,Unknown,AI,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Billion,Unknown,,Unknown,AR/VR,2026,1.25B CHF,Venture Kick Grant,Pre-Seed,,Switzerland,,,,,
SurgExplore,SOFTWARE,SaaS,B2B,"AI, SaaS",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Innunity,HEALTHCARE,Pharma,Unknown,Biotech,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Immitra,Unknown,,Unknown,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Under,MOBILITY,Electric Vehicles,Unknown,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
SWISSto12,AI/ML,AI/ML,B2B,AI,2026,100.0M EUR,Undisclosed,Growth,,Switzerland,,,,,
DistalMotion,Unknown,,Unknown,,2026,,Funding Round,Early Stage,,Switzerland,,,,,
FluoSphera,HEALTHCARE,,B2B,"AI, SaaS, Healthtech",2026,1.15M CHF,Undisclosed,Series A,,Switzerland,,,,,
Nuncs,Unknown,,Unknown,,2026,2.15M USD,Undisclosed,Series A,,Switzerland,,,,,
Taskbase,EDUCATION,,Unknown,AR/VR,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
SCALE,Unknown,,Unknown,"IoT, AR/VR",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
DNA,HEALTHCARE,Biotech,Unknown,"AI, Biotech, Healthtech, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AIdriven,AI/ML,AI/ML,Unknown,"AI, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Gallium,SOFTWARE,SaaS,B2B,"SaaS, Robotics, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Investor,Unknown,,Unknown,AR/VR,2025,,Funding Round,Early Stage,,Switzerland,,,,,
PeelPack,Unknown,,Unknown,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Neural,AI/ML,AI/ML,Unknown,AI,2025,100.0M USD,Series C,Series C,,Switzerland,,,,,
Ionic,AI/ML,AI/ML,B2B,AI,2025,2.1M USD,Undisclosed,Series A,,Switzerland,,,,,
Altiscreen,MOBILITY,Electric Vehicles,Unknown,Biotech,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Soverli,MOBILITY,Electric Vehicles,Unknown,AR/VR,2025,2.6M USD,Undisclosed,Series A,,Switzerland,,,,,
DigeHealth,HEALTHCARE,,Unknown,Healthtech,2025,1.25M CHF,Seed,Seed,,Switzerland,,,,,
Corintis,Unknown,,Unknown,,2025,25.0M USD,Series A1,Series A,,Switzerland,,,,,
Oncobit,Unknown,,Unknown,,2025,1.9M CHF,Undisclosed,Series A,,Switzerland,,,,,
Reshape,AI/ML,AI/ML,Unknown,AI,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Humbrela,FINTECH,Insurance,Unknown,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
GIFs,AI/ML,AI/ML,Unknown,"AI, Biotech, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Axy,SOFTWARE,SaaS,B2B,"AI, SaaS",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Riverkin,Unknown,,Unknown,,2025,1.7M CHF,Undisclosed,Series A,,Switzerland,,,,,
AI,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,10.0K CHF,Funding Round,Pre-Seed,,Switzerland,,,,,
Photonics,Unknown,,Unknown,,2025,,Seed,Seed,,Switzerland,,,,,
Novaccess,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
DEXTER,Unknown,,Unknown,,2025,150.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Tasteomics,HEALTHCARE,,Unknown,Healthtech,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Forgis,AI/ML,AI/ML,Unknown,AI,2025,4.5M USD,Undisclosed,Series B,,Switzerland,,,,,
PureDEL,Unknown,,Unknown,"Biotech, AR/VR",2025,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
GlioCART,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Forgis,INDUSTRIALS,,B2B,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Virometix,Unknown,,Unknown,,2025,15.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Autonomyo,Unknown,,Unknown,,2025,1.4M EUR,Funding Round,Series A,,Switzerland,,,,,
CASUS,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
CO2,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
BioVersys,HEALTHCARE,,Unknown,Healthtech,2025,14.0M CHF,Undisclosed,Series C,,Switzerland,,,,,
YQuantum,Unknown,,Unknown,AR/VR,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
BTRY,AI/ML,AI/ML,B2B,AI,2025,5.7M USD,Undisclosed,Series B,,Switzerland,,,,,
Series,SOFTWARE,SaaS,B2B,"AI, SaaS",2025,42.0M USD,Series A,Series A,,Switzerland,,,,,
Behind,Unknown,,Unknown,,2025,,Undisclosed,Early Stage,,Switzerland,,,,,
FireDrone,MOBILITY,Electric Vehicles,Unknown,,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
RetinAI,AI/ML,AI/ML,Unknown,"AI, AR/VR",2025,,Undisclosed,Early Stage,,Switzerland,,,,,
