Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Publication_Date,Article_Text,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
AIdriven,AI/ML,AI/ML,B2B,"FusionEnergy, AI, Robotics, Manufacturing",18.12.2024,"CHF 40,000 for next-gen fusion power, AI-driven robots for industrial inspections, and a sealant to detect digestive fluid leaks",2024,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Neuria,HEALTHCARE,Digital Health,Unknown,HealthTech,16.12.2024,"Neuria obtains the CHF 150,000 Kick to address overweight treatment with Neuroscience-Powered Digital Health Solution",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Insight,MOBILITY,Electric Vehicles,Unknown,HealthTech,13.12.2024,dEEGtal Insight secures CHF 1M to revolutionize epilepsy diagnosis,2024,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
Deep,AI/ML,AI/ML,B2B,DeepTech,13.12.2024,Deep Tech Nation Switzerland Partners with Venture Kick to Support Swiss Leading Technologies,2024,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
BLEEDnFIRE,HEALTHCARE,Drug Discovery,Unknown,,28.11.2024,"BLEEDnFIRE Therapeutics obtains the CHF 150,000 Kick to advance treatment for bleeding disorders",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Swiss,AGTECH,Precision Agriculture,B2B,Scalable,28.11.2024,"The most promising Swiss Foodtech startups and scale-ups of 2024, according to investors",2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Lichtsteiner,HEALTHCARE,Digital Health,Unknown,,28.11.2024,Lichtsteiner Foundation partners with Venture Kick to drive health innovation,2024,,Undisclosed,Early Stage,Venture Kick,Switzerland,,,,,
Startups,SOFTWARE,SaaS,B2B,,27.11.2024,"Startups developing a platform optimzing district heating and cooling networks, faster bacterial pathogen identification, global education access, and EVs charging wirelessly each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
KITRO,AI/ML,Circular Economy,B2B,,27.11.2024,KITRO secures funding to advance food waste reduction efforts,2024,,Funding Round,Early Stage,,Switzerland,,,,,
Splint,Unknown,,Unknown,,26.11.2024,Splint Invest exceeds crowdfunding target with CHF 2.5M in Pre-Funding Round,2024,2.5M CHF,Funding Round,Series A,,Switzerland,,,,,
CALDRE,HEALTHCARE,Drug Discovery,Unknown,,25.11.2024,"CALDRE obtains the CHF 150,000 Kick to develop innovative liver disease therapeutics",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Oncobit,Unknown,,Unknown,Venture Capital,22.11.2024,Oncobit secures CHF 1.47M in Pre-Series A Round to advance precision cancer solutions,2024,1.47M CHF,Series A,Series A,,Switzerland,,,,,
Grensol,AI/ML,AI/ML,B2B,,21.11.2024,"Grensol obtains the CHF 150,000 Kick to recover essential raw materials from recycling waste",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Spectroplast,Unknown,,Unknown,"Venture Capital, Semiconductors",19.11.2024,Spectroplast secures Series A Funding for silicone 3D printing technology,2024,,Series A,Series A,,Switzerland,,,,,
Startups,AI/ML,AI/ML,B2B,"ClimateTech, AI, FoodTech",19.11.2024,"Startups developing greenhouse cultivation with direct air capture, solar-powered cooling solutions, AI-driven scientific analysis, and plant-based microbiome nutraceuticals each receive CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
InSphero,Unknown,,Unknown,,19.11.2024,InSphero secures an EU grant to advance diversity in 3D in vitro testing,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Nanoleq,HEALTHCARE,Electric Vehicles,Unknown,,18.11.2024,Nanoleq acquired by Myant to advance preventive healthcare through smart textiles,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Almer,INDUSTRIALS,HealthTech,B2B,"Manufacturing, WearableTech",14.11.2024,Almer Technologies acquired by RealWear to drive industrial wearables innovation,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Shape,HEALTHCARE,Drug Discovery,Unknown,,14.11.2024,"Shape Biopharmaceuticals gets the CHF 150,000 Kick to challenge conventional immunotherapy methods",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Nerai,AI/ML,AI/ML,B2B,AI,11.11.2024,"Nerai Bio obtains the CHF 150,000 Kick to release the full potential of genome editing",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Ionic,AI/ML,Analytics,B2B,,07.11.2024,"Ionic Wind Technologies obtains the CHF 150,000 Kick to boost the air-cooling efficiency of electronics and data centers",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
CellX,AI/ML,Circular Economy,B2B,,04.11.2024,"CellX Biosolutions gets the CHF 150,000 Kick for bacteria-based innovations in chemical waste treatment",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
FDA,ROBOTICS,Medical Devices,B2B,Robotics,31.10.2024,FDA grants De Novo marketing authorization for the Distalmotion Dexter® Surgical Robot,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
WasteFlow,AI/ML,AI/ML,B2B,,30.10.2024,"WasteFlow obtains the CHF 150,000 Kick to enhance recycling efficiency",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Sentinus,AI/ML,AI/ML,B2B,,28.10.2024,"Sentinus gets the CHF 150,000 Kick to optimize quality control in assembly processes",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Startups,SOFTWARE,SaaS,B2C,"ClimateTech, Policy",25.10.2024,"Startups developing seasonally stored renewables, next-gen blood pressure regulation, a platform for fashion content creation, innovative prosthetic sockets each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Startups,MOBILITY,Circular Economy,Unknown,"Semiconductors, BioTech, Logistics",25.10.2024,"Startups developing modular on-site wastewater treatment, an open-access foundry for photonic integrated circuits, safe gene delivery into the retina, a VR-based ADHD treatment, and non-invasive canccer detection each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
ONWARD,HEALTHCARE,Digital Health,Unknown,,24.10.2024,ONWARD Medical secures EUR 50 million in upsized capital increase to fuel growth,2024,50.0M EUR,Undisclosed,Growth,,Switzerland,,,,,
Optiverse,AI/ML,AI/ML,B2B,AI,22.10.2024,"Optiverse receives the CHF 150,000 Kick to refine AI-driven meeting assistance",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Sallea,Unknown,,Unknown,Venture Capital,16.10.2024,Sallea secures USD 2.6M Pre-Seed funding to accelerate 3D Scaffolds for cultivated meat,2024,2.6M USD,Pre-Seed,Pre-Seed,Accel,Switzerland,,,,,
Ikerian,AI/ML,AI/ML,B2B,"Venture Capital, AI",16.10.2024,Ikerian Secures USD 8 Million in Series B funding to expand RetinAI discovery across Europe,2024,8.0M USD,Series B,Series B,,Switzerland,,,,,
RTDT,AI/ML,AI/ML,B2B,Mobility,14.10.2024,"RTDT Laboratories receives the CHF 150,000 Kick to optimise wind turbine fleet operation",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Lymphatica,HEALTHCARE,MedTech,Unknown,"EdTech, Venture Capital",08.10.2024,Lymphatica Medtech raises EUR 17.9M in Series B to advance Lymphedema treatment,2024,17.9M EUR,Series B,Series B,,Switzerland,,,,,
Eldico,Unknown,,Unknown,,08.10.2024,Eldico secures new funding to drive global expansion and enhance commercial operations,2024,,Funding Round,Early Stage,,Switzerland,,,,,
Lighthouse,AI/ML,AI/ML,B2B,,07.10.2024,"Lighthouse Tech obtains the CHF 150,000 Kick to empower the blind and visually impaired to move safely",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Voliro,AI/ML,AI/ML,B2B,"Venture Capital, Robotics, Manufacturing",04.10.2024,Voliro raises USD 12M Series A to advance aerial robotics for industrial inspections,2024,12.0M USD,Series A,Series A,,Switzerland,,,,,
TranslationX,AI/ML,AI/ML,B2B,,30.09.2024,"Translation-X gets the CHF 150,000 Kick to tackle autism with precision medicine",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Luya,AI/ML,AI/ML,B2B,,26.09.2024,Luya Raises CHF 5 million to fuel EU expansion and achieve profitability,2024,5.0M CHF,Undisclosed,Series B,,Switzerland,,,,,
TOP,AI/ML,Payments,B2B,,25.09.2024,"An unprecedented 66 alumni from Venture Kick clinched positions in the TOP 100 Swiss Startup Awards 2024 ranking, setting a new record",2024,,Venture Kick Grant,Pre-Seed,Venture Kick,Switzerland,,,,,
Synple,Unknown,Drug Discovery,Unknown,,25.09.2024,Synple Chem acquired by eMolecules,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Startups,HEALTHCARE,Drug Discovery,B2B,"FusionEnergy, AI, Robotics, Manufacturing, HealthTech",23.09.2024,"Startups developing next-gen fusion power, an innovative shopping platform, AI-driven robots for industrial inspections, safer drugs for patients, wheelchairs with steering-by-leaning each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
ValTech,HEALTHCARE,Digital Health,Unknown,"BioTech, HealthTech",23.09.2024,"ValTech Lifesciences receives the CHF 150,000 Kick to bring the next-generation prosthetic heart valves to patients",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Lightium,AI/ML,Analytics,B2B,"Manufacturing, Semiconductors, AI",19.09.2024,Lightium secures USD 7M to boost production of TFLN photonic chips for AI-driven data centers,2024,7.0M USD,Undisclosed,Series B,,Switzerland,,,,,
Perovskia,AI/ML,AI/ML,B2B,ClimateTech,18.09.2024,"Perovskia Solar raises USD 2.4M funding to enable customized solar-cells on every device, securing first global market clients",2024,2.4M USD,Funding Round,Series A,,Switzerland,,,,,
Rrreefs,Unknown,,Unknown,,18.09.2024,Rrreefs wins Innovate 4 Nature Award 2024,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Almer,Unknown,,Unknown,,18.09.2024,Almer Technologies secures USD 3 million funding led by Vi Partners,2024,3.0M USD,Funding Round,Series B,VI Partners,Switzerland,,,,,
Abrinca,AI/ML,Biotech,B2B,BioTech,16.09.2024,"Abrinca Genomics obtains the CHF 150,000 Kick to advance the microbial genomics research market",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Distalmotion,ROBOTICS,Medical Devices,B2B,Robotics,16.09.2024,Distalmotion secures fresh funding to accelerate commercial growth of Dexter Surgical Robot,2024,,Funding Round,Early Stage,Accel,Switzerland,,,,,
Bioversys,HEALTHCARE,MedTech,Unknown,HealthTech,12.09.2024,Bioversys secures USD 6 million investment to advance clinical program in China,2024,6.0M USD,Funding Round,Series B,,Switzerland,,,,,
CREAL,Unknown,,Unknown,,10.09.2024,CREAL partners with ZEISS to innovate vision care with light field display technology,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
HAYA,HEALTHCARE,Drug Discovery,B2B,,04.09.2024,HAYA Therapeutics secures USD 1 billion deal with Lilly to target obesity through RNA platform,2024,1.0B USD,Undisclosed,Growth,,Switzerland,,,,,
Startups,FINTECH,Crypto,B2B,"Web3, AI, BioTech",29.08.2024,"Startups developing a solution for the treatment of mitral regurgitation, a crypto accounting software, AI to improve the healthcare system,s treamlined literature review, and illumination for optogenetics each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Nunuai,AI/ML,AI/ML,B2B,"AI, Venture Capital",29.08.2024,Nunu.ai raises USD 2M Pre-Seed Funding to innovate game testing with AI,2024,2.0M USD,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Swiss,AI/ML,Analytics,B2B,,29.08.2024,Swiss Starturp Apheros raises CHF 1.6M to revolutionize data center cooling,2024,1.6M CHF,Undisclosed,Series A,,Switzerland,,,,,
Startups,SOFTWARE,SaaS,B2B,"HealthTech, SpaceTech, IoT",26.08.2024,"Startups developing a software for epilepsy diagnosis, a platform to coordinate space traffic, single-protein sensors, and a sealant to detect digestive fluid leaks each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Octotronic,Unknown,,Unknown,,22.08.2024,Octotronic and Visense merge to form Octotronic,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
GraphEnergyTech,CLEANTECH,Renewable Energy,B2B,ClimateTech,20.08.2024,GraphEnergyTech secures CHF 1.1 million to to integrate graphene electrodes into solar cells,2024,1.1M CHF,Undisclosed,Series A,,Switzerland,,,,,
Building,AI/ML,AI/ML,B2B,,20.08.2024,Building the Future: Wanja Humanes on Leading Kickfund and Empowering Switzerland’s Top Startups,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
DemoSquare,AI/ML,AI/ML,B2B,"Venture Capital, AI",06.08.2024,DemoSquare Secures CHF 1.2 million Pre-Seed funding to transform political monitoring with AI,2024,1.2M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
NematX,INDUSTRIALS,Manufacturing,B2B,Manufacturing,02.08.2024,NematX secures funds from POLYPLASTICS to boost industrial 3D printing of high-performance polymers,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Regenosca,Unknown,Medical Devices,Unknown,"Venture Capital, Logistics",31.07.2024,Regenosca secures CHF 1M Pre-Seed funding to advance endoscopic delivery of innovative TissueSpan bio-implants,2024,1.0M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Flink,AI/ML,Industrial Robotics,B2B,"Robotics, BioTech, Manufacturing",30.07.2024,"Flink Robotics gets the CHF 150,000 Kick to power the next generation of industrial robots",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Amporin,HEALTHCARE,Drug Discovery,Unknown,,25.07.2024,"Amporin Pharmaceuticals receives the CHF 150,000 Kick to develop a breakthrough class of small-molecule drugs",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Startups,CLEANTECH,RegTech,B2B,"Semiconductors, AR/VR, Policy, IoT, ClimateTech",16.07.2024,"Startups developing molecular intelligence for the chemical industry, a chip for AR glasses, a one click e-compliance for food manufacturers, phage therapies to fight antibiotic-resistance, and decarbonized regenerated glass fiber textiles each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
BTRY,AI/ML,Crypto,B2B,Web3,15.07.2024,"BTRY receives the CHF 150,000 Kick to redefine energy storage",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Similarweb,SOFTWARE,SaaS,B2B,,02.07.2024,"42matters acquired by Similarweb, enhancing App Intelligence leadership",2024,,Undisclosed,Early Stage,,Switzerland,,,,,
WattAnyWhere,Unknown,,Unknown,,01.07.2024,"WattAnyWhere secures CHF 2.2 million in Seed round, total funding nears CHF 5 million",2024,2.2M CHF,Seed,Seed,,Switzerland,,,,,
ETH,Unknown,Drug Discovery,Unknown,Venture Capital,01.07.2024,ETH Zurich spin-off Enantios secures over CHF 1.8M in Seed funding to innovate complex molecule characterization,2024,1.8M CHF,Seed,Seed,,Switzerland,,,,,
Startups,HEALTHCARE,AI/ML,Unknown,"Manufacturing, HealthTech",27.06.2024,"Startups developing a device for the isolation of extracellular vesicles, a transformative technology for brain surgery, green H2 production with microengineering, a novel water management software, and a new approach to help stroke patients each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Calico,HEALTHCARE,Drug Discovery,Unknown,"Go-to-Market, HealthTech",25.06.2024,"Calico Biosystems gets the CHF 150,000 Kick to predict drug efficacy in cancer patients",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
NXI,HEALTHCARE,Drug Discovery,Unknown,,20.06.2024,NXI Therapeutics raises CHF 3.5 million in Pre-Seed financing to innovate novel immunotherapies,2024,3.5M CHF,Pre-Seed,Pre-Seed,,Switzerland,,,,,
DeepJudge,MOBILITY,Electric Vehicles,Unknown,,18.06.2024,DeepJudge secures USD 10.7M in oversubscribed Seed round to revolutionize legal search,2024,10.7M USD,Seed,Seed,UBS,Switzerland,,,,,
IMAI,AI/ML,AI/ML,B2B,"AI, HealthTech",17.06.2024,"IMAI obtains the CHF 150,000 Kick to transform cancer diagnosis",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Rivia,HEALTHCARE,Drug Discovery,Unknown,"Venture Capital, BioTech, IoT",13.06.2024,Rivia secures EUR 3M Seed funding to revolutionize drug trial analytics for Biotechs,2024,3.0M EUR,Seed,Seed,,Switzerland,,,,,
Sensars,MOBILITY,Electric Vehicles,Unknown,,12.06.2024,Sensars secures EUR 1.1 million in funding to advance revolutionary neuromodulation technology,2024,1.1M EUR,Funding Round,Series A,,Switzerland,,,,,
EMPath,AI/ML,AI/ML,B2B,,10.06.2024,"EMPath obtains the CHF 150,000 Kick to boost radio frequency testing of wireless devices",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Startups,HEALTHCARE,Analytics,B2C,"Ecommerce, Robotics, PhysicalAI, AI, IoT",10.06.2024,"Startups developing a firefighting drone, a digital marketplace for healthcare replacements, datamanagement for logisitics, robotic manipulation AI models, and a probiotic drink each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Swiss,FINTECH,Payments,B2B,"FinTech, Venture Capital",07.06.2024,Swiss Fintech Kaspar& secures CHF 2.5 million Seed funding and partners with Avaloq,2024,2.5M CHF,Seed,Seed,,Switzerland,,,,,
Microcaps,Unknown,Manufacturing,Unknown,"Venture Capital, Manufacturing",05.06.2024,Microcaps Secures CHF 9.3 million in Series A Funding to expand production of ethanol-free Perfume Pearls,2024,9.3M CHF,Series A,Series A,,Switzerland,,,,,
Synthara,SOFTWARE,AI/ML,B2B,AI,05.06.2024,Synthara raises over USD 11M to expand the embedded computing market and enable AI applications,2024,11.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Neural,SOFTWARE,SaaS,B2B,"Venture Capital, AI, EdTech",04.06.2024,Neural Concept secures USD 27 million in Series B Funding to accelerate the global expansion of its 3D Deep Learning platform,2024,27.0M USD,Series B,Series B,Accel,Switzerland,,,,,
Orio,HEALTHCARE,Drug Discovery,Unknown,"Web3, BioTech",29.05.2024,"Orio Therapeutics obtains the CHF 150,000 Kick to redefine regenerative medicine through protein engineering",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Startups,HEALTHCARE,Drug Discovery,Unknown,"Robotics, HealthTech, FusionEnergy",28.05.2024,"Startups developing innovative biomolecular analysis, soft robot manipulators, topology optimization of patient-specific spinal fusion implants, luxury goods' digital passport, and therapeutic monoclonal antibody each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
DemoSquare,AI/ML,AI/ML,B2B,,27.05.2024,"DemoSquare obtains the CHF 150,000 Kick to help businesses navigate the political landscape",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
DAAV,MOBILITY,Electric Vehicles,Unknown,Mobility,22.05.2024,DAAV secures CHF 1 million in its first funding to transform services for individuals with reduced mobility,2024,1.0M CHF,Funding Round,Series A,,Switzerland,,,,,
Startups,AI/ML,Drug Discovery,B2B,ClimateTech,21.05.2024,"Startups developing an AI-chat interface for B2B Wholesaler, the next-gen smart drug-eluting coating, smart wind energy, expert ultrasound access, and automated, gentle organoid sorting each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Limula,INDUSTRIALS,Drug Discovery,B2B,"BioTech, Manufacturing",21.05.2024,Limula secures USD 6.8 million to revolutionize Cell and Gene Therapy manufacturing,2024,6.8M USD,Undisclosed,Series B,,Switzerland,,,,,
Correntics,CLEANTECH,Climate Tech,B2B,,15.05.2024,Correntics wins EUR 1.5 million Eurostars grant to revolutionize climate-risk management in the agri-food sector,2024,1.5M EUR,Undisclosed,Series A,,Switzerland,,,,,
Cowa,Unknown,WealthTech,Unknown,,14.05.2024,Cowa Thermal Solutions secures CHF 1.9 million in second investment round,2024,1.9M CHF,Funding Round,Series A,,Switzerland,,,,,
Eightinks,AI/ML,AI/ML,B2B,,13.05.2024,Eightinks raises EUR 3 million Pre-Seed Financing to transform the energy landscape,2024,3.0M EUR,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Lightium,Unknown,,Unknown,,13.05.2024,Lightium secures CHF 2.67 million grant from Innosuisse to accelerate photonic technology commercialization,2024,2.67M CHF,Undisclosed,Series A,"Accel, Innosuisse",Switzerland,,,,,
Climeworks,AI/ML,AI/ML,B2B,,10.05.2024,Climeworks powers up Mammoth: World’s largest direct air capture plant in Iceland,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Viventis,MOBILITY,Electric Vehicles,Unknown,,07.05.2024,"Viventis Microscopy acquired by Leica Microsystems, poised to revolutionize life sciences imaging",2024,,Undisclosed,Early Stage,,Switzerland,,,,,
BioVersys,MOBILITY,Drug Discovery,Unknown,,07.05.2024,BioVersys strengthens tuberculosis drug development with expanded GSK collaboration and CHF 12.3 million Series C boost,2024,12.3M CHF,Series C,Series C,,Switzerland,,,,,
Big,HEALTHCARE,Digital Health,Unknown,,06.05.2024,Big win for at-home STI testing: Testmate Health lands USD 6 million to fight the spread,2024,6.0M USD,Undisclosed,Series B,,Switzerland,,,,,
Ikerian,HEALTHCARE,AI/ML,Unknown,"Venture Capital, AI",02.05.2024,Ikerian secures USD 6.18 million Series A extension Financing to advance AI-driven healthcare solutions,2024,6.18M USD,Series A,Series A,,Switzerland,,,,,
EPFL,AI/ML,AI/ML,B2B,AI,30.04.2024,EPFL Spin-off SONIX secures CHF 850k Project for advancing AI audio communication,2024,850.0K CHF,Undisclosed,Series A,,Switzerland,,,,,
Oxara,Unknown,,Unknown,Venture Capital,29.04.2024,Oxara secures Pre-Series A Funding for cement-free building project,2024,,Series A,Series A,,Switzerland,,,,,
AI,AI/ML,Drug Discovery,B2B,AI,24.04.2024,"CHF 40,000 for video consumption with AI, next-gen immunotherapy, and advanced recycling solutions",2024,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Startups,HEALTHCARE,Circular Economy,B2C,Ecommerce,23.04.2024,"Startups developing recycling with light-powered material recovery, next-gen photonic devices, real-time fracture monitoring, an adaptive power distribution solution, and direct-to-consumer health risk assessment each recevie CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
AlpinaSana,AI/ML,AI/ML,B2B,,17.04.2024,"AlpinaSana obtains the CHF 150,000 Kick to customize nutrition for the elderly",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Isospec,HEALTHCARE,Medical Devices,Unknown,,17.04.2024,Isospec raises USD 1.9 Million to revolutionize human health through rapid diagnostics,2024,1.9M USD,Undisclosed,Series A,,Switzerland,,,,,
Bcomp,Unknown,WealthTech,Unknown,,17.04.2024,Bcomp secures CHF 36M Series C investment to accelerate expansion and market entry,2024,36.0M CHF,Series C,Series C,Accel,Switzerland,,,,,
Bayer,HEALTHCARE,AI/ML,Unknown,,16.04.2024,Bayer (Schweiz) and ASPIVIX collaborate to reduce pain in Women’s Health procedures,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Tandem,HEALTHCARE,Drug Discovery,Unknown,,15.04.2024,Tandem Therapeutics joins Wyss Zurich Translational Center to accelerate progress in fibrosis treatment,2024,,Undisclosed,Early Stage,Accel,Switzerland,,,,,
Kidemis,AI/ML,AI/ML,B2B,,12.04.2024,"Kidemis receives the CHF 150,000 Kick to disrupt aquafarming",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
Supertext,AI/ML,AI/ML,B2B,AI,04.04.2024,Supertext merges with Textshuttle to become an AI-powered language service giant,2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Volumina,HEALTHCARE,MedTech,Unknown,HealthTech,26.03.2024,Volumina Medical secures USD 21 Million Funding to boost clinical advancements following successful first in human trial,2024,21.0M USD,Funding Round,Series C,,Switzerland,,,,,
AIassisted,SOFTWARE,SaaS,B2B,BioTech,26.03.2024,"CHF 40,000 for an AI-assisted CRISPR protein engineering platform, smart cameras for automated quality control, and an innovative hardware project collaboration platform",2024,40.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Hemotune,Unknown,,Unknown,Venture Capital,26.03.2024,Hemotune secures CHF 14 Million in Series B2 Funding to advance innovative blood purification technology,2024,14.0M CHF,Series B2,Series B,,Switzerland,,,,,
Startups,HEALTHCARE,Electric Vehicles,Unknown,IoT,26.03.2024,"Startups developing a 3D printed dental aligner, a gamified tech for unhealthy consumption behaviors, next-gen light analysis sensors, a 360-degree visible bike light system, and an app for early skin cancer detection each get CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
DPhi,AI/ML,AI/ML,B2B,SpaceTech,26.03.2024,"DPhi Space receives CHF 150,000 Kick to democratize access to space",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
ONWARD,HEALTHCARE,AI/ML,Unknown,,25.03.2024,ONWARD Medical raises EUR 20 Million for spinal cord injury products,2024,20.0M EUR,Undisclosed,Series C,,Switzerland,,,,,
Startups,AI/ML,Medical Devices,B2B,PhysicalAI,22.03.2024,"Startups innovating for safe treatments for hemophilia, cholestasis and liver disease, full-stack mobile manipulation solutions, precision in dental implantology, and fully electric training and traveling airplane each receive CHF 10,000",2024,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
Swiss,MOBILITY,Electric Vehicles,Unknown,SpaceTech,19.03.2024,Swiss dental startup Odne secures USD 5.5 Million for US market launch of revolutionary root preservation technology,2024,5.5M USD,Undisclosed,Series B,,Switzerland,,,,,
ETH,AI/ML,AI/ML,B2B,BioTech,19.03.2024,"ETH Spin-off rrreefs raises CHF 420,000 to scale up global coral reef regeneration efforts",2024,420.0K CHF,Undisclosed,Series A,,Switzerland,,,,,
OBaris,AI/ML,Drug Discovery,B2B,Logistics,19.03.2024,"OBaris obtains the CHF 150,000 Kick to enable the painless delivery of injectable drugs",2024,150.0K CHF,Undisclosed,Seed,,Switzerland,,,,,
CustomSurg,AI/ML,WealthTech,B2B,,18.03.2024,CustomSurg secures Seed round investment for AI-guided trauma surgery,2024,,Seed,Seed,,Switzerland,,,,,
Alithea,HEALTHCARE,Biotech,Unknown,"BioTech, IoT",14.03.2024,Alithea Genomics secures CHF 2.8 million in Seed financing extension led by Novalis Biotech,2024,2.8M CHF,Seed,Seed,,Switzerland,,,,,
Cotierra,CLEANTECH,Climate Tech,B2B,"Venture Capital, ClimateTech",12.03.2024,Cotierra Secures USD 1 million in oversubscribed Pre-Seed Funding to decarbonize coffee farming,2024,1.0M USD,Pre-Seed,Pre-Seed,UBS,Switzerland,,,,,
ETH,MOBILITY,Electric Vehicles,Unknown,Venture Capital,06.03.2024,ETH spin-off Chiral Nano secures USD 3.8 million Pre-Seed Funding to drive nanomaterial-powered electronics revolution,2024,3.8M USD,Pre-Seed,Pre-Seed,,Switzerland,,,,,
Locatee,Unknown,Analytics,Unknown,FutureOfWork,06.03.2024,"Locatee acquired by Tango, creating industry's first holistic workplace analytics solution",2024,,Undisclosed,Early Stage,,Switzerland,,,,,
Cultivated,AI/ML,AI/ML,B2B,,06.03.2024,Cultivated Biosciences raises USD 5 million to accelerate the development of its microbial cream,2024,5.0M USD,Undisclosed,Series B,Accel,Switzerland,,,,,
FimmCyte,Unknown,WealthTech,Unknown,,29.02.2024,FimmCyte secures 1 million CHF investment for Non-Hormonal Endometriosis treatment,2024,1.0M CHF,Funding Round,Series A,,Switzerland,,,,,
Artiria,HEALTHCARE,Digital Health,Unknown,,28.02.2024,Artiria Medical secures USD 6 million to advance stroke treatment technology in Europe and US,2024,6.0M USD,Undisclosed,Series B,,Switzerland,,,,,
